,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,AGREEMENT_RK,TARGET,PERSONAL_INCOME,CREDIT_AMOUNT,CLOSED,PROPERTY
54,40,0,Среднее специальное,Состою в браке,2,2,1,0,75214244,0,15000.0,1,0,0
55,27,0,Среднее специальное,Состою в браке,1,1,1,0,62094470,1,12000.0,1,0,1
56,29,0,Высшее,Не состоял в браке,0,0,1,0,59930422,0,20000.0,1,1,0
57,42,1,Среднее специальное,Состою в браке,2,2,1,0,60098380,0,11000.0,1,0,0
58,50,1,Среднее специальное,Состою в браке,1,0,1,0,62384561,0,10000.0,1,0,0
59,26,0,Среднее специальное,Состою в браке,1,1,1,0,59962548,0,15000.0,1,1,0
60,22,0,Среднее специальное,Не состоял в браке,0,0,1,0,61244949,1,10000.0,1,0,1
61,57,0,Высшее,Состою в браке,2,1,1,1,62249206,0,23000.0,1,0,1
62,50,1,Среднее специальное,Вдовец/Вдова,0,0,1,0,62786543,0,15000.0,1,0,1
63,35,0,Среднее,Состою в браке,1,1,1,0,61423700,0,12500.0,1,0,1
64,55,1,Среднее,Не состоял в браке,1,0,1,1,66771811,0,20000.0,2,1,0
65,34,0,Высшее,Состою в браке,0,1,1,0,66670943,0,12000.0,3,1,1
66,28,0,Среднее специальное,Состою в браке,1,1,1,0,62236055,0,6000.0,1,0,1
67,59,0,Неполное среднее,Состою в браке,3,0,1,0,62593286,0,17500.0,1,0,0
68,47,1,Высшее,Не состоял в браке,1,0,1,0,66782719,0,18000.0,3,1,1
69,41,1,Среднее,Разведен(а),2,2,1,0,66432857,0,9000.0,2,1,1
70,36,1,Среднее,Разведен(а),0,0,1,0,66530733,1,7000.0,2,1,0
71,55,0,Среднее,Состою в браке,0,0,1,0,61467586,0,18000.0,1,0,0
72,52,0,Среднее специальное,Не состоял в браке,1,0,1,0,61845475,0,25000.0,1,0,1
73,46,0,Высшее,Состою в браке,2,0,1,0,74995307,1,30000.0,1,0,0
74,23,1,Среднее специальное,Состою в браке,1,1,1,0,59973701,0,7000.0,1,0,0
75,23,1,Среднее специальное,Состою в браке,0,0,1,0,67321747,0,9000.0,1,0,0
76,40,1,Высшее,Не состоял в браке,1,1,1,0,64471913,0,15000.0,1,0,0
77,36,1,Среднее специальное,Разведен(а),3,3,1,0,61231849,0,11000.0,1,1,0
78,23,0,Среднее,Состою в браке,1,1,1,0,63986090,0,15000.0,1,0,0
79,40,1,Высшее,Состою в браке,1,0,1,0,62024184,0,25000.0,1,0,1
80,61,0,Среднее,Вдовец/Вдова,0,0,0,1,66760003,0,8500.0,3,1,1
81,48,0,Среднее специальное,Состою в браке,0,0,1,0,64551242,0,9000.0,2,0,0
82,41,0,Высшее,Состою в браке,1,1,1,0,63094088,0,40000.0,1,0,1
83,44,1,Среднее,Не состоял в браке,2,1,1,0,67173594,1,30000.0,2,1,1
84,36,1,Среднее специальное,Состою в браке,3,3,1,0,62799248,0,8000.0,1,0,0
85,42,0,Среднее специальное,Состою в браке,3,2,1,0,62776533,0,12000.0,1,0,0
86,22,1,Среднее специальное,Состою в браке,0,1,1,0,61236972,1,14000.0,1,0,0
87,49,1,Среднее специальное,Состою в браке,2,0,1,0,60106019,0,17000.0,1,0,1
88,41,0,Среднее специальное,Не состоял в браке,1,1,1,0,61151593,0,25000.0,1,0,1
89,63,1,Среднее,Разведен(а),2,0,0,1,74190360,0,6000.0,1,1,0
90,33,1,Среднее специальное,Состою в браке,1,1,1,0,62023684,0,15000.0,1,0,1
91,38,0,Высшее,Состою в браке,1,1,1,0,61079700,0,16000.0,1,1,0
92,29,1,Среднее специальное,Состою в браке,1,1,1,0,72285109,0,10000.0,1,1,0
93,49,1,Среднее,Вдовец/Вдова,1,1,1,0,73827016,0,8000.0,2,0,1
94,50,1,Среднее специальное,Состою в браке,2,0,1,0,61372316,0,6000.0,1,0,1
95,48,0,Среднее,Состою в браке,0,0,1,0,59939829,0,12000.0,1,1,0
96,42,1,Среднее специальное,Состою в браке,2,2,1,0,64839795,0,11000.0,1,0,0
97,39,0,Высшее,Состою в браке,1,1,1,0,64563165,0,18000.0,1,0,0
98,61,1,Высшее,Не состоял в браке,0,0,1,0,66524810,0,17000.0,2,1,0
99,42,1,Среднее,Вдовец/Вдова,2,2,1,0,60096783,0,14000.0,1,0,0
100,23,1,Высшее,Не состоял в браке,0,0,1,0,65482083,0,10000.0,2,1,0
101,28,1,Высшее,Не состоял в браке,0,0,1,0,74467755,0,15000.0,4,1,0
102,56,1,Высшее,Вдовец/Вдова,0,0,1,1,64445162,0,30000.0,1,1,0
103,28,1,Высшее,Состою в браке,1,1,1,0,66700908,0,18000.0,1,1,0
104,27,0,Среднее,Состою в браке,1,1,1,0,61110489,0,25000.0,1,0,0
105,46,1,Среднее,Не состоял в браке,1,0,1,0,74544319,0,11000.0,3,0,0
106,38,1,Среднее специальное,Состою в браке,1,1,1,0,64995451,0,15000.0,1,1,1
107,35,1,Среднее,Состою в браке,2,2,1,0,64827687,0,8700.0,1,0,1
108,37,1,Высшее,Состою в браке,1,1,1,0,67421931,1,20000.0,1,0,1
109,49,0,Среднее,Состою в браке,2,1,1,0,75017098,0,15000.0,2,1,0
110,37,0,Среднее,Состою в браке,3,3,1,0,74460711,1,40000.0,2,1,1
111,36,1,Среднее специальное,Разведен(а),2,2,1,0,60086903,0,20000.0,1,0,1
112,51,0,Среднее специальное,Не состоял в браке,2,0,1,0,61054691,0,12000.0,1,1,0
113,47,1,Высшее,Состою в браке,0,0,1,0,73830243,1,10000.0,1,0,0
114,46,1,Среднее специальное,Состою в браке,0,0,1,0,75021931,0,20000.0,1,1,0
115,28,1,Высшее,Разведен(а),1,1,1,0,62590815,1,55000.0,1,0,1
116,53,1,Высшее,Не состоял в браке,2,0,1,0,60465966,0,20000.0,1,1,1
117,26,0,Среднее,Состою в браке,1,1,1,0,66420656,0,9000.0,2,1,1
118,61,0,Высшее,Состою в браке,4,0,1,0,66773911,1,14000.0,2,1,0
119,48,1,Среднее,Состою в браке,2,0,1,0,60466295,0,7000.0,1,0,0
120,30,1,Среднее специальное,Не состоял в браке,1,1,1,0,61111863,0,16000.0,1,0,0
121,22,0,Среднее специальное,Состою в браке,1,0,1,0,64898724,1,20000.0,1,0,1
122,53,1,Высшее,Состою в браке,2,0,1,0,61235487,0,8000.0,1,1,1
123,56,1,Среднее специальное,Состою в браке,1,0,1,0,61299664,0,11500.0,1,1,0
124,54,0,Среднее,Гражданский брак,2,0,1,0,62994403,0,8000.0,1,0,1
125,40,0,Среднее специальное,Состою в браке,1,1,1,0,67322945,0,35000.0,1,0,0
126,56,0,Среднее специальное,Состою в браке,1,0,0,1,67426389,0,9000.0,1,0,0
127,46,1,Высшее,Состою в браке,0,0,1,0,61302471,0,9000.0,1,1,1
128,52,1,Среднее специальное,Состою в браке,0,0,1,0,61151598,0,15000.0,1,0,0
129,32,0,Среднее,Состою в браке,2,2,1,0,62185166,1,12000.0,1,0,0
130,59,0,Высшее,Состою в браке,1,0,0,1,64592177,0,7000.0,1,1,1
131,35,0,Среднее,Состою в браке,1,1,1,0,67533565,0,17000.0,2,1,1
132,26,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,61234815,0,8000.0,1,0,0
133,39,0,Среднее специальное,Гражданский брак,1,1,1,0,74187392,0,11000.0,3,0,0
134,40,1,Среднее,Состою в браке,3,2,1,0,74984325,0,20000.0,2,1,1
135,57,0,Среднее,Состою в браке,3,0,1,0,59963388,0,7000.0,1,1,1
136,60,1,Среднее,Состою в браке,1,1,1,0,66521201,0,20000.0,2,1,1
137,45,1,Среднее,Состою в браке,0,0,1,0,66849149,0,8600.0,3,1,0
138,40,0,Неоконченное высшее,Состою в браке,2,2,1,0,64359123,0,45000.0,1,0,0
139,38,0,Высшее,Состою в браке,1,0,1,0,62508107,0,8000.0,1,1,0
140,22,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,61428784,0,15000.0,1,0,1
141,49,0,Среднее,Состою в браке,3,0,1,0,67316365,0,12000.0,2,0,1
142,53,1,Среднее,Гражданский брак,1,0,0,1,63810875,1,8500.0,3,1,1
143,40,1,Среднее специальное,Состою в браке,1,0,1,0,66913678,0,15000.0,1,0,0
144,57,0,Среднее,Состою в браке,3,0,1,0,66584918,0,17000.0,3,1,1
145,34,0,Высшее,Не состоял в браке,0,0,1,0,64003837,0,21000.0,1,1,0
146,56,1,Среднее,Разведен(а),1,0,1,1,63911375,1,6000.0,1,0,1
147,32,1,Среднее специальное,Состою в браке,2,2,1,0,64437168,0,15000.0,1,0,0
148,23,1,Неоконченное высшее,Не состоял в браке,0,0,1,0,74016494,0,7000.0,1,0,0
149,54,1,Среднее специальное,Не состоял в браке,0,0,0,1,67435863,0,11000.0,1,0,1
150,33,1,Среднее специальное,Состою в браке,1,1,1,0,63891476,0,6000.0,1,0,0
151,33,0,Среднее,Состою в браке,1,2,1,0,67083166,0,14000.0,4,1,0
152,23,0,Среднее специальное,Не состоял в браке,0,0,1,0,61537559,0,12000.0,1,1,0
153,34,0,Высшее,Состою в браке,1,1,1,0,63604196,0,20000.0,1,1,1
154,64,1,Среднее специальное,Не состоял в браке,2,0,0,1,63898906,0,6000.0,1,0,0
155,37,1,Высшее,Состою в браке,2,2,1,0,66741910,0,20000.0,3,1,0
156,44,1,Среднее специальное,Состою в браке,3,0,1,0,61974001,0,12000.0,1,0,0
157,26,0,Среднее,Состою в браке,1,1,1,0,66761419,0,16000.0,2,1,0
158,43,1,Среднее специальное,Разведен(а),2,2,1,0,67217992,0,10000.0,2,1,0
159,49,1,Среднее специальное,Состою в браке,1,0,1,0,61367683,0,15000.0,1,0,1
160,44,1,Среднее специальное,Разведен(а),1,0,1,0,62255169,0,10000.0,2,0,0
161,60,1,Среднее специальное,Состою в браке,0,0,1,0,63273839,0,15000.0,1,0,0
162,34,1,Среднее специальное,Состою в браке,1,1,1,0,75289228,0,10000.0,1,0,0
163,53,1,Среднее специальное,Вдовец/Вдова,0,0,1,0,63922027,0,10000.0,1,0,0
164,56,1,Среднее,Разведен(а),3,0,1,0,74551521,0,14000.0,3,1,1
165,49,1,Среднее специальное,Состою в браке,2,1,1,0,64367877,0,7000.0,1,0,0
166,49,1,Среднее специальное,Разведен(а),0,0,1,0,60051963,1,30000.0,1,1,0
167,34,1,Среднее специальное,Вдовец/Вдова,2,1,0,1,61872969,0,11000.0,1,0,0
168,41,1,Среднее специальное,Состою в браке,4,2,1,0,66741232,1,9340.0,3,1,1
169,26,1,Высшее,Состою в браке,0,0,1,0,66199923,0,13000.0,1,0,0
170,40,1,Высшее,Состою в браке,1,0,1,0,60389929,0,13000.0,1,0,1
171,42,1,Среднее специальное,Состою в браке,2,1,1,0,63001854,0,7500.0,1,0,0
172,37,1,Среднее специальное,Разведен(а),1,1,1,0,61149628,0,7000.0,1,0,0
173,38,1,Среднее специальное,Состою в браке,1,1,1,0,75202163,0,7800.0,1,0,0
174,45,1,Среднее специальное,Состою в браке,1,1,1,0,62032105,0,7000.0,1,0,1
175,49,1,Среднее,Состою в браке,2,0,1,0,67438464,0,8200.0,2,1,0
176,39,1,Среднее,Состою в браке,1,1,1,0,61938570,0,6700.0,1,1,0
177,36,1,Высшее,Разведен(а),1,1,1,0,61466005,0,80000.0,2,0,1
178,42,0,Среднее,Состою в браке,2,0,1,0,64912588,1,15000.0,1,0,1
179,29,0,Среднее специальное,Состою в браке,1,1,1,0,63599601,0,10000.0,1,0,0
180,45,1,Высшее,Состою в браке,2,0,1,0,64886008,0,20000.0,1,0,1
181,51,1,Среднее специальное,Состою в браке,2,0,1,0,67084430,0,14000.0,1,1,1
182,56,1,Среднее специальное,Состою в браке,0,0,1,0,60059563,0,13000.0,1,1,0
183,33,0,Высшее,Состою в браке,1,1,1,0,74481609,0,16000.0,1,0,1
184,24,1,Среднее специальное,Состою в браке,0,0,1,0,61111134,0,15000.0,1,0,1
185,46,0,Среднее специальное,Состою в браке,2,2,1,0,61298098,1,22000.0,1,0,1
186,39,0,Среднее,Состою в браке,1,1,1,0,61309526,0,30000.0,1,0,0
187,49,0,Высшее,Состою в браке,2,1,1,0,60059582,0,25000.0,1,0,0
188,49,1,Среднее,Не состоял в браке,0,0,1,0,74041324,0,7000.0,1,0,1
189,49,0,Высшее,Состою в браке,2,0,1,1,63002506,0,20000.0,1,0,1
190,26,0,Среднее,Состою в браке,1,1,1,0,72272351,0,16000.0,1,0,0
191,61,0,Среднее,Состою в браке,0,0,0,1,67419243,0,8000.0,1,0,0
192,42,0,Среднее специальное,Состою в браке,1,1,1,0,60106578,0,22000.0,1,0,0
193,39,1,Среднее,Состою в браке,1,0,1,0,67070426,0,15000.0,3,1,0
194,52,1,Среднее специальное,Состою в браке,1,0,1,0,62141879,0,20000.0,1,0,0
195,38,1,Неоконченное высшее,Не состоял в браке,1,1,1,0,66534703,0,11000.0,2,1,0
196,49,1,Среднее специальное,Состою в браке,1,1,1,0,61530018,0,9000.0,1,1,1
197,51,1,Среднее специальное,Состою в браке,2,2,0,1,63921231,0,12800.0,1,0,0
198,60,1,Среднее специальное,Состою в браке,2,0,1,0,61538643,1,7000.0,1,0,1
199,42,1,Среднее,Состою в браке,1,1,1,0,74555752,0,10500.0,2,1,1
200,57,1,Среднее специальное,Вдовец/Вдова,3,0,0,1,65201789,0,7000.0,1,0,0
201,41,1,Среднее специальное,Состою в браке,2,1,1,0,61164289,0,20000.0,1,0,1
202,47,1,Высшее,Не состоял в браке,2,1,1,0,61438860,0,8000.0,3,0,1
203,34,1,Высшее,Состою в браке,1,1,1,0,62605205,1,12000.0,1,1,0
204,32,1,Среднее специальное,Состою в браке,2,2,1,0,64346113,0,5500.0,1,0,0
205,38,1,Высшее,Не состоял в браке,2,0,1,0,74274221,1,30000.0,1,0,1
206,26,1,Среднее специальное,Разведен(а),1,1,1,0,65501297,0,8000.0,1,1,0
207,39,0,Неоконченное высшее,Не состоял в браке,1,1,1,0,66521740,0,18000.0,4,1,0
208,35,0,Неоконченное высшее,Состою в браке,1,1,1,0,67316223,0,25000.0,1,0,0
209,37,0,Среднее специальное,Состою в браке,1,0,1,0,61127390,0,24000.0,1,1,0
210,22,1,Среднее специальное,Не состоял в браке,0,0,1,0,66077870,0,10500.0,1,1,0
211,61,0,Среднее,Состою в браке,2,0,0,1,66895275,0,7000.0,2,0,1
212,36,0,Среднее специальное,Состою в браке,3,3,1,0,61540822,0,16000.0,1,1,1
213,27,1,Среднее специальное,Не состоял в браке,1,1,1,0,67533844,0,9000.0,2,0,1
214,43,0,Высшее,Состою в браке,1,0,1,0,61522740,0,15000.0,1,0,1
215,60,1,Среднее,Состою в браке,4,2,1,0,74181771,0,6000.0,3,1,1
216,38,1,Высшее,Состою в браке,2,2,1,0,60383583,0,9000.0,1,0,1
217,42,1,Среднее специальное,Состою в браке,2,0,1,0,61517342,0,15000.0,1,0,1
218,23,0,Высшее,Не состоял в браке,0,0,1,0,64363709,1,30000.0,1,0,1
219,31,0,Высшее,Состою в браке,1,1,1,0,66849191,0,15000.0,3,1,1
220,63,1,Среднее,Не состоял в браке,0,0,0,1,75276828,0,6000.0,3,1,1
221,27,1,Среднее специальное,Состою в браке,1,1,1,0,61153739,1,15000.0,1,0,1
222,39,1,Среднее специальное,Состою в браке,1,1,1,0,67217364,0,18000.0,3,1,1
223,43,1,Среднее специальное,Вдовец/Вдова,2,2,1,0,62991727,0,13000.0,1,0,1
224,60,1,Среднее,Состою в браке,2,0,0,1,61420110,0,5200.0,2,1,0
225,33,1,Среднее специальное,Не состоял в браке,0,0,1,0,61378216,0,20000.0,1,0,1
226,49,1,Среднее специальное,Состою в браке,1,0,1,0,65227755,0,6000.0,1,1,0
227,26,0,Среднее специальное,Состою в браке,1,1,1,0,60048649,0,13000.0,1,0,0
228,38,0,Среднее,Состою в браке,1,1,1,0,66964461,1,12000.0,1,0,0
229,27,1,Среднее специальное,Состою в браке,1,1,1,0,64825946,1,9000.0,1,0,0
230,36,1,Высшее,Разведен(а),1,1,1,0,66772955,0,15000.0,2,1,0
231,42,1,Среднее специальное,Состою в браке,2,1,1,0,67323570,0,12000.0,1,0,0
232,46,1,Среднее,Состою в браке,0,0,1,0,74982312,0,12650.0,2,1,1
233,27,0,Среднее специальное,Не состоял в браке,1,1,1,0,61962648,0,9000.0,1,1,0
234,43,1,Высшее,Разведен(а),0,0,1,0,59961282,0,40000.0,1,1,1
235,30,0,Высшее,Состою в браке,1,1,1,0,60460976,1,30000.0,1,0,0
236,24,1,Среднее специальное,Не состоял в браке,0,0,1,0,65480352,0,10000.0,1,1,0
237,41,0,Среднее специальное,Гражданский брак,4,4,1,0,64429925,0,11500.0,1,0,0
238,36,1,Среднее,Не состоял в браке,0,0,1,0,63986316,0,6000.0,1,1,0
239,42,0,Высшее,Состою в браке,1,1,1,0,63584839,1,15000.0,1,0,1
240,56,1,Среднее специальное,Состою в браке,3,0,1,1,67423403,1,30000.0,1,0,0
241,30,0,Среднее,Состою в браке,2,2,1,0,73848706,0,16000.0,1,0,1
242,47,1,Среднее,Состою в браке,1,0,1,0,66591984,0,7100.0,3,1,1
243,53,1,Среднее специальное,Состою в браке,1,0,1,0,62377524,0,6000.0,1,0,0
244,23,1,Среднее специальное,Состою в браке,1,1,1,0,66158890,0,8000.0,1,0,0
245,43,0,Среднее специальное,Не состоял в браке,0,0,1,0,61151983,0,12000.0,1,0,0
246,37,1,Высшее,Состою в браке,1,1,1,0,67148327,0,29000.0,2,1,1
247,55,1,Среднее специальное,Состою в браке,2,0,1,0,60108759,0,7000.0,1,0,0
248,26,1,Среднее специальное,Гражданский брак,2,2,1,0,75277061,0,13000.0,1,0,1
249,58,1,Среднее,Не состоял в браке,0,0,0,1,61456826,0,6500.0,2,1,1
250,29,1,Среднее специальное,Состою в браке,1,1,1,0,64361215,0,9000.0,1,0,0
251,26,1,Высшее,Состою в браке,0,0,1,0,66664448,1,21000.0,1,0,0
252,24,0,Среднее специальное,Не состоял в браке,0,0,1,0,62086372,1,15000.0,1,0,0
253,43,1,Среднее,Состою в браке,2,0,1,0,67530654,0,10000.0,1,0,0
254,37,1,Высшее,Состою в браке,1,1,1,0,66431039,0,7800.0,2,1,0
255,23,1,Неоконченное высшее,Не состоял в браке,0,0,1,0,65419884,0,14000.0,1,1,0
256,45,0,Среднее специальное,Состою в браке,1,1,1,0,62236119,0,30000.0,1,0,1
257,49,1,Среднее,Состою в браке,2,0,1,0,67140209,0,12000.0,2,1,0
258,37,1,Среднее специальное,Состою в браке,1,1,1,0,74177264,0,7000.0,1,0,0
259,48,1,Среднее,Разведен(а),0,0,1,0,63600552,0,15000.0,1,0,1
260,42,0,Среднее специальное,Состою в браке,3,2,1,0,62248078,0,30000.0,2,0,1
261,40,1,Среднее специальное,Не состоял в браке,0,2,1,0,65207556,1,11000.0,1,0,1
262,56,1,Высшее,Вдовец/Вдова,0,0,1,1,61244479,0,9330.0,1,0,1
263,36,1,Среднее,Разведен(а),1,1,1,0,64279518,0,16000.0,1,1,0
264,53,1,Среднее,Состою в браке,2,0,1,0,61082604,0,12000.0,1,1,0
265,33,0,Среднее,Состою в браке,1,1,1,0,67319516,0,18000.0,1,0,1
266,54,1,Высшее,Состою в браке,2,0,1,1,67170275,0,21000.0,3,1,1
267,50,1,Среднее,Разведен(а),2,0,1,0,72263345,0,12000.0,1,0,1
268,25,1,Среднее специальное,Не состоял в браке,1,1,1,0,66080261,0,10000.0,1,1,0
269,26,1,Неоконченное высшее,Разведен(а),1,1,1,0,65413785,0,7000.0,1,1,0
270,42,1,Среднее специальное,Состою в браке,2,0,1,0,62037803,0,7850.0,1,0,0
271,42,0,Среднее,Состою в браке,1,1,1,0,73826301,0,20000.0,2,0,0
272,54,1,Неполное среднее,Состою в браке,4,1,1,1,61832441,0,6700.0,1,0,1
273,26,0,Высшее,Не состоял в браке,0,0,1,0,59923612,0,10000.0,2,1,1
274,54,1,Среднее,Вдовец/Вдова,2,0,1,0,66323676,0,10000.0,3,1,0
275,26,0,Среднее специальное,Не состоял в браке,0,0,1,0,61381122,1,15000.0,1,0,1
276,33,0,Высшее,Состою в браке,1,1,1,0,67413927,0,30000.0,7,1,1
277,31,0,Среднее,Состою в браке,1,1,1,0,66405513,0,12000.0,1,1,1
278,25,1,Неоконченное высшее,Состою в браке,0,0,1,0,65416756,0,8000.0,2,1,0
279,62,1,Среднее,Вдовец/Вдова,3,0,1,1,63001956,0,17000.0,1,0,0
280,29,1,Среднее специальное,Не состоял в браке,1,1,1,0,60464401,0,18000.0,1,1,0
281,46,1,Высшее,Состою в браке,3,1,1,0,63915922,0,13000.0,1,0,0
282,33,0,Среднее специальное,Состою в браке,1,1,1,0,73822653,0,25000.0,1,1,1
283,54,1,Среднее,Состою в браке,0,0,1,0,74947649,0,15000.0,2,1,1
284,54,0,Среднее специальное,Состою в браке,0,0,0,1,62794114,0,15000.0,1,0,1
285,56,0,Высшее,Состою в браке,0,0,1,1,64455108,0,18000.0,1,0,0
286,42,0,Среднее специальное,Состою в браке,1,1,1,0,61104584,0,12000.0,1,1,1
287,39,1,Среднее специальное,Состою в браке,1,1,1,0,59925539,0,35000.0,1,1,0
288,42,1,Среднее специальное,Состою в браке,2,1,1,0,62594920,0,9000.0,1,0,0
289,27,1,Среднее,Состою в браке,1,1,1,0,66536598,1,17000.0,2,1,0
290,39,1,Высшее,Состою в браке,2,2,1,0,62505743,0,35000.0,1,1,0
291,46,0,Среднее специальное,Состою в браке,2,1,1,0,64915501,0,20000.0,1,0,1
292,24,0,Среднее,Не состоял в браке,0,0,1,0,74952294,0,20000.0,2,1,1
293,56,1,Среднее специальное,Не состоял в браке,1,0,1,1,60451886,0,10000.0,1,0,1
294,59,1,Среднее специальное,Состою в браке,0,0,0,1,62025473,0,6500.0,1,0,1
295,47,1,Среднее,Разведен(а),2,1,1,0,67028464,0,8000.0,3,1,0
296,37,1,Среднее специальное,Гражданский брак,1,1,1,0,63601542,0,35000.0,1,0,1
297,23,1,Среднее специальное,Состою в браке,2,2,1,0,66195988,0,6500.0,1,0,1
298,58,1,Среднее специальное,Не состоял в браке,2,0,0,1,63602995,0,6000.0,1,0,0
299,35,1,Среднее,Состою в браке,2,2,1,0,67228601,0,10000.0,2,0,1
300,45,0,Высшее,Состою в браке,2,1,1,0,66748130,0,15000.0,2,1,0
301,35,1,Высшее,Не состоял в браке,1,1,1,0,74835083,0,30000.0,1,0,0
302,47,0,Высшее,Не состоял в браке,1,1,1,0,61121711,0,7000.0,1,1,0
